node1	node1;label	relationship	relationship;label	node2	node2;label
46	PIA_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
46	PIA_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-07-23	
46	PIA_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199975	
46	PIA_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
47	CAGED_2000_04	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
47	CAGED_2000_04	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
47	CAGED_2000_04	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2000-04	
47	CAGED_2000_04	DAT_FONTE_ATU	Data da Fonte de Atualização	^2000-08-17	
47	CAGED_2000_04	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199925	
47	CAGED_2000_04	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
48	CAGED_2000_09	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
48	CAGED_2000_09	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
48	CAGED_2000_09	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2000-09	
48	CAGED_2000_09	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-01-19	
48	CAGED_2000_09	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199925	
48	CAGED_2000_09	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
49	FGV_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
49	FGV_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	FUNDAÇÃO GETULIO VARGAS	
49	FGV_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
49	FGV_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2000-12-01	
49	FGV_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200050	
49	FGV_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
50	RAIS_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
50	RAIS_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
50	RAIS_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
50	RAIS_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-10-26	
50	RAIS_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200050	
50	RAIS_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
51	DCC_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	DCC	
51	DCC_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	GERÊNCIA DO CADASTRO CENTRAL DE EMPRESAS	
51	DCC_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
51	DCC_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-06-14	
51	DCC_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200075	
51	DCC_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
52	PIA_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
52	PIA_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
52	PIA_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
52	PIA_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-06-18	
52	PIA_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200075	
52	PIA_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
53	PAS_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
53	PAS_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
53	PAS_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
53	PAS_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-06-19	
53	PAS_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200075	
53	PAS_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
54	PAC_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
54	PAC_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
54	PAC_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
54	PAC_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-06-19	
54	PAC_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200075	
54	PAC_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
55	PAIC_2000	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
55	PAIC_2000	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
55	PAIC_2000	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2000	
55	PAIC_2000	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-08-20	
55	PAIC_2000	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200075	
55	PAIC_2000	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
56	CAGED_2001_03	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
56	CAGED_2001_03	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
56	CAGED_2001_03	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2001-03	
56	CAGED_2001_03	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-10-19	
56	CAGED_2001_03	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200025	
56	CAGED_2001_03	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
57	CAGED_2001_09	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
57	CAGED_2001_09	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
57	CAGED_2001_09	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2001-09	
57	CAGED_2001_09	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-12-13	
57	CAGED_2001_09	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200025	
57	CAGED_2001_09	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
58	FGV_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
58	FGV_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	FUNDAÇÃO GETULIO VARGAS	
58	FGV_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
58	FGV_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-12-01	
58	FGV_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200150	
58	FGV_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
59	RAIS_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
59	RAIS_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
59	RAIS_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
59	RAIS_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-12-17	
59	RAIS_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200150	
59	RAIS_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
60	PAIC_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
60	PAIC_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
60	PAIC_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
60	PAIC_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2003-05-20	
60	PAIC_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200175	
60	PAIC_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
61	PAS_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
61	PAS_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
61	PAS_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
61	PAS_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2003-10-20	
61	PAS_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200175	
61	PAS_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
62	PAC_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
62	PAC_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
62	PAC_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
62	PAC_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2003-10-20	
62	PAC_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200175	
62	PAC_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
63	PIA_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
63	PIA_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
63	PIA_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
63	PIA_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2003-11-21	
63	PIA_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200175	
63	PIA_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
64	DCC_2001	SGL_FONTE_ATU	Sigla da Fonte de Atualização	DCC	
64	DCC_2001	DSC_FONTE_ATU	Descrição da Fonte de Atualização	GERÊNCIA DO CADASTRO CENTRAL DE EMPRESAS	
64	DCC_2001	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2001	
64	DCC_2001	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-06-14	
64	DCC_2001	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200175	
64	DCC_2001	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
65	CAGED_2002_03	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
65	CAGED_2002_03	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
65	CAGED_2002_03	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2002-03	
65	CAGED_2002_03	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-07-29	
65	CAGED_2002_03	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200125	
65	CAGED_2002_03	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
66	CAGED_2002_09	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
66	CAGED_2002_09	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
66	CAGED_2002_09	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2002-09	
66	CAGED_2002_09	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-12-05	
66	CAGED_2002_09	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200125	
66	CAGED_2002_09	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
67	FGV_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
67	FGV_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	FUNDAÇÃO GETULIO VARGAS	
67	FGV_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
67	FGV_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2002-12-01	
67	FGV_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200250	
67	FGV_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
68	RAIS_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
68	RAIS_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
68	RAIS_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
68	RAIS_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-03-12	
68	RAIS_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200250	
68	RAIS_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
69	DCC_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	DCC	
69	DCC_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	GERÊNCIA DO CADASTRO CENTRAL DE EMPRESAS	
69	DCC_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
69	DCC_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-03-25	
69	DCC_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200275	
69	DCC_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
70	PIA_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
70	PIA_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
70	PIA_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
70	PIA_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-06-07	
70	PIA_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200275	
70	PIA_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
71	PAIC_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
71	PAIC_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
71	PAIC_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
71	PAIC_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-06-07	
71	PAIC_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200275	
71	PAIC_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
72	PAS_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
72	PAS_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
72	PAS_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
72	PAS_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-06-08	
72	PAS_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200275	
72	PAS_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
73	PAC_2002	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
73	PAC_2002	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
73	PAC_2002	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2002	
73	PAC_2002	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-06-08	
73	PAC_2002	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200275	
73	PAC_2002	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
74	CAGED_2003_03	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
74	CAGED_2003_03	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
74	CAGED_2003_03	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2003-03	
74	CAGED_2003_03	DAT_FONTE_ATU	Data da Fonte de Atualização	^2003-09-10	
74	CAGED_2003_03	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200225	
74	CAGED_2003_03	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
75	CAGED_2003_09	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
75	CAGED_2003_09	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
75	CAGED_2003_09	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2003-09	
75	CAGED_2003_09	DAT_FONTE_ATU	Data da Fonte de Atualização	^2003-12-16	
75	CAGED_2003_09	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200225	
75	CAGED_2003_09	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
76	RAIS_2003	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
76	RAIS_2003	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
76	RAIS_2003	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2003	
76	RAIS_2003	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-03-30	
76	RAIS_2003	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200350	
76	RAIS_2003	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
77	DCC_2003	SGL_FONTE_ATU	Sigla da Fonte de Atualização	DCC	
77	DCC_2003	DSC_FONTE_ATU	Descrição da Fonte de Atualização	GERÊNCIA DO CADASTRO CENTRAL DE EMPRESAS	
77	DCC_2003	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2003	
77	DCC_2003	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-06-13	
77	DCC_2003	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200375	
77	DCC_2003	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
78	PAIC_2003	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
78	PAIC_2003	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
78	PAIC_2003	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2003	
78	PAIC_2003	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-08-05	
78	PAIC_2003	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200375	
78	PAIC_2003	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
79	PAS_2003	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
79	PAS_2003	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
79	PAS_2003	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2003	
79	PAS_2003	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-12-08	
79	PAS_2003	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200375	
79	PAS_2003	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
80	PAC_2003	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
80	PAC_2003	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
80	PAC_2003	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2003	
80	PAC_2003	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-12-08	
80	PAC_2003	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200375	
80	PAC_2003	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
81	PIA_2003	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
81	PIA_2003	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
81	PIA_2003	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2003	
81	PIA_2003	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-12-12	
81	PIA_2003	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200375	
81	PIA_2003	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
82	CAGED_2004_03	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
82	CAGED_2004_03	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
82	CAGED_2004_03	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2004-03	
82	CAGED_2004_03	DAT_FONTE_ATU	Data da Fonte de Atualização	^2004-09-22	
82	CAGED_2004_03	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200325	
82	CAGED_2004_03	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
83	CAGED_2004_09	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
83	CAGED_2004_09	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
83	CAGED_2004_09	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2004-09	
83	CAGED_2004_09	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-01-24	
83	CAGED_2004_09	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200325	
83	CAGED_2004_09	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
84	RAIS_2004	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
84	RAIS_2004	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
84	RAIS_2004	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2004	
84	RAIS_2004	DAT_FONTE_ATU	Data da Fonte de Atualização	^2006-02-01	
84	RAIS_2004	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200450	
84	RAIS_2004	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
85	PAC_2004	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
85	PAC_2004	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
85	PAC_2004	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2004	
85	PAC_2004	DAT_FONTE_ATU	Data da Fonte de Atualização	^2006-03-16	
85	PAC_2004	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200475	
85	PAC_2004	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
86	DCC_2004	SGL_FONTE_ATU	Sigla da Fonte de Atualização	DCC	
86	DCC_2004	DSC_FONTE_ATU	Descrição da Fonte de Atualização	GERÊNCIA DO CADASTRO CENTRAL DE EMPRESAS	
86	DCC_2004	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2004	
86	DCC_2004	DAT_FONTE_ATU	Data da Fonte de Atualização	^2006-03-21	
86	DCC_2004	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200475	
86	DCC_2004	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
87	PAIC_2004	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
87	PAIC_2004	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
87	PAIC_2004	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2004	
87	PAIC_2004	DAT_FONTE_ATU	Data da Fonte de Atualização	^2006-05-02	
87	PAIC_2004	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200475	
87	PAIC_2004	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
88	PAS_2004	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
88	PAS_2004	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
88	PAS_2004	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2004	
88	PAS_2004	DAT_FONTE_ATU	Data da Fonte de Atualização	^2006-07-05	
88	PAS_2004	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200475	
88	PAS_2004	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
89	PIA_2004	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
89	PIA_2004	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
89	PIA_2004	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^2004	
89	PIA_2004	DAT_FONTE_ATU	Data da Fonte de Atualização	^2006-07-06	
89	PIA_2004	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200475	
89	PIA_2004	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
90	CAGED_2005_03	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
90	CAGED_2005_03	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
90	CAGED_2005_03	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^2005-03	
90	CAGED_2005_03	DAT_FONTE_ATU	Data da Fonte de Atualização	^2005-08-23	
90	CAGED_2005_03	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	200425	
90	CAGED_2005_03	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
